RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B22BTOT;B22B11;B22B12;B22B13;B22B14;B22B15;B22B16;B22B21;B22B22;B22B23;B22B24;B22B25;B22B26;B22B27;B22B28;B22B29;B22B30;B22BMTOT;B22BM01;B22BM02;B22BM03;B22BM04;B22BM05;B22BM06;B22BM07;B22BM08;B22BM09;B22BM10;B22BM11;B22BM12;B22BM13;B22BM14;B22BM15;B22BM16;B22BM17;B22BM18;B22BM19;B22BWTOT;B22BW01;B22BW02;B22BW03;B22BW04;B22BW05;B22BW06;B22BW07;B22BW08;B22BW09;B22BW10;B22BW11;B22BW12;B22BW13;B22BW14;B22BW15;B22BW16;B22BW17;B22BW18;B22BW19;B22B41;B22B42;B22B43;B22B44;B22B45;B22B46;B22B51;B22B52;B22B53;B22B54;B22B55;B22B56;H22PTOT;H22P01;H22P02;H22P03;H22P04;H22P05;H22P06;H22PI
69742658;227;12977;2697400;1265800;18;16;3;3;0;0;0;16;0;9;7;0;3;3;0;0;0;7;0;0;0;0;0;0;0;3;3;3;0;0;0;3;0;3;3;0;0;11;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;4;4;0;0;3;16;3;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0
69771519;5079;13092;2697700;1151900;15;14;3;3;0;0;0;13;6;6;3;0;3;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;3;3;0;0;0;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;7;0;0;3;8;6;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0
69791225;5317;14495;2697900;1122500;16;13;3;3;0;0;0;10;3;6;3;0;6;5;3;0;0;6;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;3;3;0;0;10;0;0;0;0;3;0;0;0;0;0;0;3;0;3;3;0;0;3;3;0;4;3;6;4;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
69792049;1363;12192;2697900;1204900;20;20;0;0;0;0;0;20;12;8;0;0;0;0;0;0;0;5;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;3;0;3;15;3;3;0;0;0;0;3;0;0;0;3;0;3;0;0;0;3;4;3;0;4;0;3;14;0;19;0;0;0;3;0;4;3;0;0;0;3;0;1
69831083;5097;11833;2698300;1108300;11;10;3;3;0;0;0;9;4;3;3;0;3;3;0;3;0;7;0;0;0;0;3;0;0;0;0;0;0;0;3;0;3;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;3;0;3;3;4;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
69831921;1218;10364;2698300;1192100;19;19;0;0;0;0;0;19;13;3;3;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;3;0;3;3;8;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;3;0;0;3;8;10;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
69832806;4536;15468;2698300;1280600;7;6;3;0;0;3;0;6;3;3;4;0;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;6;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;3;0;3;3;0;0;3;3;5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
69852827;4545;15473;2698500;1282700;24;23;3;0;0;3;0;20;0;5;15;0;4;3;0;3;0;13;0;0;0;0;3;0;0;0;0;0;3;3;0;3;3;4;0;3;0;11;0;3;0;0;0;0;0;0;0;0;3;0;3;0;0;3;0;3;3;0;3;5;14;3;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
69902706;39;10563;2699000;1270600;6;6;0;0;0;0;0;5;0;4;3;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;3;0;3;3;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
69922271;1321;12007;2699200;1227100;5;3;3;0;3;0;0;3;0;3;3;0;3;3;3;0;0;3;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;3;0;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
69922494;172;11989;2699200;1249400;44;41;3;3;3;3;0;36;0;22;14;0;8;6;3;0;0;19;0;0;0;0;3;0;3;0;3;0;3;3;0;0;3;3;4;3;3;25;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;3;7;8;7;0;6;4;32;3;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0
69951111;5125;12922;2699500;1111100;6;5;3;3;0;0;0;5;0;3;3;0;3;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;3;3;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
